Name	Type	Region	PKG direct link	File Size
Simple 1500 Vol.91: The Gambler – Honoo no Tobaku Densetsu 	PS1	JP	http://zeusXXXXJP0367/NPJJ00416_00/xbILwGmcwPlTUinuMI77ECPw5SELnd6PtN07fYqknLKhE2gBQPg4BFChKDtS0J9YI48AjuBri9CcW9mysgBatEAqaCqbr1ms8WPa3.pkg	15
Simple 1500 Vol. 31: The Sound Novel 	PS1	JP	http://zeusXXXXJP0367/NPJJ00340_00/72wgD4GjBrTxRH4RheasRmqOuGPoX7SRdiR2qcbOTAUJdB02ts2nCBkPH9wInJlwCJoaOWCypS1Xx4sByanN6dT66WB1LiWNcwFR1.pkg	16
Simple 1500 Vol.65: The Golf 	PS1	JP	http://zeusXXXXJP0367/NPJJ00388_00/Oc71avytNuMAV0msfRCPcsp2QDfEWIbRNU9YsOP1ijHLL1uIXAWLHMCVV5JWBeIR9VaMy2AI2ydFkJbEW3AX4HiPtryC2KN1oomJ4.pkg	16
Bowling 	PS1	US	http://zeusXXXXUP9000/NPUJ01288_00/DAw6OL0xSsUWuaFOmdWPt874oOsQyCF7ig1MO2bJ22lXXhe5nVJvrTea8OxQyGE4nCa5X90U7QrHl8WdlA1mdA8KSfmptrQdjnMtf.pkg	17
FINGER FLASHING	PS1	JP	http://zeusXXXXJP0747/NPJJ00487_00/oT4J5EXcYx18w5n5wIqf469dls3Wa6TnF5LNg4qnAvSLNYYOXI09dukuwsYCWn5FHAJs7KA0FegHqUvrKS7hjr8JmvsMw4G6gy1AA.pkg	17
Finger Flashing 	PS1	JP	http://zeusXXXXJP0747/NPJJ00487_00/oT4J5EXcYx18w5n5wIqf469dls3Wa6TnF5LNg4qnAvSLNYYOXI09dukuwsYCWn5FHAJs7KA0FegHqUvrKS7hjr8JmvsMw4G6gy1AA.pkg	17
Hi Takara O 	PS1	JP	http://zeusXXXXJP0571/NPJJ00392_00/NwGwmv5v5yqsBK0QYYmieWMc7G8s8otF2r9eidOEvXGlnYj9QFdvaXruku1IfFvYCI8cjSgsxdaCRS0oMqLywVIi1VuHjhK8f2eVx.pkg	17
Nekketsu Oyako	PS1	JP	http://zeusXXXXJP0177/NPJJ00763_00/FQnGbWPlKQJTSUzOkXLAnCLVlLURPeeIIObyQpKXoqrTtgvZeXrbLfZoszFZCtuEPAzSAKznpSOMmppUIrtweDHJfKVPMrLppTIat.pkg	17
Saikyou Ginsei Shogi 2 	PS1	JP	http://zeusXXXXJP0571/NPJJ00478_00/rnJmaCUny1dpvlFbVh3ssnit4Bo7xosKSKGLvotiKocdhcaSkcj05oCkuvndsRcVkiyhPJsqm4sHtlomPfxKv9P86aKuJ9RVhvrH3.pkg	17
King's Field 	PS1	JP	http://zeusXXXXJP0506/NPJJ00069_00/nFnEkNSO3yTKsYTdLBhGdWqIELCeGDNX9veBGSAqCyEtU3fVT5wjN8BToQS4lk6eTbRnPH0pdRMjAcWVQgb78BvyuE1co90Hbf293.pkg	18
Card Games 	PS1	US	http://zeusXXXXUP9000/NPUJ01379_00/gupzTaBHXzqwvHOlYPwRSLXgzVTqTuFfuRDedrcaGSjPJxpXGfNDxjtrPhQDHaXt.pkg	19
Simple 1500 Vol. 44: The Card II 	PS1	JP	http://zeusXXXXJP0367/NPJJ00363_00/3t46Kj3ehxylfbsvT5xuu9HmXD1POBPjrVe9vJvM7OXq7FCmvC7Uq5VbkeEo7PTFNLWI0LJhCRAvlpNVv5WQKEX3i4BlJoakPqUDF.pkg	19
Waku Waku Volley 	PS1	JP	http://zeusXXXXJP0035/NPJJ00471_00/OJrrgipxx0J578m8keauc35tx8lGTpiOs6jgnOquEAbs0AsKjo3Aub21NMMYG82TiDHRJ1vVnWRS95KKTgdxV3JnvLlRDvfPoN2Hg.pkg	19
Koten Tsugoshuu: Shijin no Kan 	PS1	JP	http://zeusXXXXJP0571/NPJJ00495_00/CDBRjX6SscKrlSgmmUnJkrWDbPrmLtO6J1M2pVQUVWdtNkl5BT8VDY03922ABmjJ1n3Cn9RmgMPiE7HYmYjNiodLWt5tb6bt1lN8O.pkg	20
Simple 1500 Vol. 59: The Suiri – IT Tantei: 18 no Jikenbo 	PS1	JP	http://zeusXXXXJP0367/NPJJ00382_00/O9CTO3S1SxeX5V6V8kwMHJe5S3IPS0gTNPhnQcRxsOKjmjf3Gx6rri3XtpgO5SI8BmeciTrUL9FFwnLIODnhDCN9C9y8hD01WlS9s.pkg	20
Simple 1500 Vol. 15: The Pachinko 	PS1	JP	http://zeusXXXXJP0367/NPJJ00338_00/Fn8fDESThEctE1Xe02oIyu4F1amGBDkGVW22KvkDFA72mKC2UO4qiF7ACdhUEgpGvceBpOQedUj38ie8er8wmOR9SOdjoN1kFcFn1.pkg	21
Hanafuda II (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00125_00/QqKMtwtPoaEoQGRAngqvwyhRYDEXjuP9G6wotvBXJO6yUJiGNdK1njEij401CLkWWtpgOGPYL7heSG98MhTLET03JOB1Xmp2mbsHJ.pkg	22
Card II (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00124_00/ywwhJDLxbUYfPql4E1PwdYAHEXjpXehjUWmRdbIWRGjtRbbM4GXp1v12Gs29N2k1O3MvQphatbMmahl675Ej64CbAx9FfvMi1fD0D.pkg	23
Hyouryuu Ki: The Reportage Beyond the Sea 	PS1	JP	http://zeusXXXXJP0747/NPJJ00554_00/OxmJjzrxYwQxpHabHsufveALrJQxxmmJwJkjKWNtyxkRXPkkhfTlFNNSiNABPGxqaFiSNyDgXlYEzbvpfVLrTqoAUwCnjtNFXsPyd.pkg	23
Manpuku!! Nabe family	PS1	JP	http://zeusXXXXJP0571/NPJJ00310_00/CsuW1S9Vy9V84hIIRiJjEDFSjDS9heU8smuxKQv1GAnIGTlVEvNDbRc7TM0mjd0dCg4O5wdAqCBC89QucesqE7Xy79OpWCbhVqtvX.pkg	23
Extreme Pinball 	PS1	US	http://zeusXXXXUP9000/NPUJ00200_00/h1dcfGXEAUDoURUKdv0XwH2VDL0p9N5yeEa9I1F6UptEoth1tM4OXrEUk0jPA2fLvaQCI4FkSAAYEq6Wsd3GKyanHh1wGUKRT2AMM.pkg	24
Ide Yosuke no Mahjong Kyoshitsu  (req. OFW 3.90)	PS1	JP	http://zeusXXXXJP0035/NPJJ00140_00/KMhuFTPqf6T4hER7Ff4vKexy3HXC0XmoPiQJJva8aHLVEC7yloBFsWOVNoN7Kd2wBgl9qjiwsd2u3b3Jj9vsvguTK4KiFRNAa8THR.pkg	24
Sorcerer`s Maze 	PS1	US	http://zeusXXXXUP9000/NPUJ01495_00/EwiOWQ0Qkna1BOo5vLeDSFUeUfg6tEho6hak7Y8rVkiOD8xMM61GBDr3bKMJBCoPdF8p8oBdMIorqYodHuJcar99CNtmIXbTgN08A.pkg	25
Simple 1500 Vol. 45: The Block Kuzushi 2 	PS1	JP	http://zeusXXXXJP0367/NPJJ00364_00/wMq059Brr1vuFRPETQIVGLA2QtCsaiaAOVCF0NFD5TEQGtVtonTk8r5S7Ev1o61C5GQOHaRrW7cjyL60uS7BeunCnFqp2h7iNsSSW.pkg	26
Vib-Ribbon (German store) 	PS1	EU	http://zeusXXXXEP9000/NPEE00044_00/djOLvwZpkhaWQgPNZJYuObUQOfjHeWMvSEwvJfuGzWmZYzEWxnnIGJmkJVnUJBWT.pkg	26
Vib-Ribbon (UK Store) 	PS1	EU	http://zeusXXXXEP9000/NPEE00044_00/EdFsQopOntKHrCzrJWbTFvrFHUZxqIcuxWvgoeGrqAWFofokVPQLhBOVIxUszCfw.pkg	26
